SettlementID	CountryID	MPAID	SettlementName	Treatment	Mainland	DistrictName	DistrictCode
1	360	1	Araway	1	0	TELUK MAYALIBIT	9108041000
2	360	1	Beo	1	0	TELUK MAYALIBIT	9108041000
3	360	1	Go	1	0	TELUK MAYALIBIT	9108041000
4	360	1	Kabilol	1	0	TELUK MAYALIBIT	9108041000
5	360	1	Kalikoto	1	0	TELUK MAYALIBIT	9108041000
6	360	1	Lopintol	1	0	TELUK MAYALIBIT	9108041000
7	360	1	Mumes	1	0	TELUK MAYALIBIT	9108041000
8	360	1	Waifoi	1	0	TELUK MAYALIBIT	9108041000
9	360	1	Warsamdin	1	0	TELUK MAYALIBIT	9108041000
10	360	1	Wenook/Waremak	1	0	TELUK MAYALIBIT	9108041000
11	360	1	Yensner	1	0	WAIGEO TIMUR	9108061000
12	360	1	Kabui	0	0	MEOS MANSAR	9108042000
13	360	1	Kapidiri	0	0	WAIGEO UTARA	9108060000
14	360	1	Waiyai	0	0	WAIGEO SELATAN	9108040000
15	360	2	Bawei	1	1	TELUK UMAR	9104061000
16	360	2	Goni	1	1	TELUK UMAR	9104061000
17	360	2	Masipawa	0	1	NAPAN	9104090000
18	360	2	Masyarah	0	0	ORKERI	9409011000
20	360	2	Napan	0	1	NAPAN	9104090000
21	360	2	Napan Yaur	1	1	TELUK UMAR	9104061000
22	360	2	Noridwar	1	0	ROSWAR	9103061000
23	360	2	Pakreki	0	0	ORKERI	9409011000
24	360	2	Rawar	0	0	ORKERI	9409011000
25	360	2	Waprak/Saref	1	0	ROSWAR	9103061000
26	360	2	Saribi	0	0	ORKERI	9409011000
27	360	2	Syeiwar	1	0	ROSWAR	9103061000
28	360	2	Supmander	0	0	ORKERI	9409011000
29	360	2	Wansra/Wansa	0	0	ORKERI	9409011000
30	360	2	Weinami	0	1	NAPAN	9104090000
31	360	2	Weititindau	1	0	RUMBERPON	9103070000
32	360	2	Yariyari	1	0	RUMBERPON	9103070000
33	360	2	Yembepon	0	0	ORKERI	9409011000
34	360	2	Yembikiri II	1	0	RUMBERPON	9103070000
35	360	2	Yenbeba	0	0	ORKERI	9409011000
36	360	2	Yeretuar	1	1	TELUK UMAR	9104061000
37	360	2	Yomakan	1	0	RUMBERPON	9103070000
38	360	2	Yomber	1	0	ROSWAR	9103061000
39	360	4	Balal/Dibalal	1	0	KOFIAU	9108021000
40	360	4	Deer	1	0	KOFIAU	9108021000
41	360	4	Mikiran	1	0	KOFIAU	9108021000
42	360	4	Tolobi	1	0	KOFIAU	9108021000
43	360	4	Pulau Tikus	0	0	KEPULAUAN SEMBILAN	9108023000
44	360	4	Satukurano	0	0	KEPULAUAN SEMBILAN	9108023000
45	360	4	Wejim Barat	0	0	KEPULAUAN SEMBILAN	9108023000
46	360	4	Wejim Timur	0	0	KEPULAUAN SEMBILAN	9108023000
47	360	6	Biga	1	0	MISOOL BARAT	9108012000
48	360	6	Dabatan	1	0	MISOOL SELATAN	9108011000
49	360	6	Fanfalap	1	0	MISOOL SELATAN	9108011000
50	360	6	Gamta	1	0	MISOOL BARAT	9108012000
51	360	6	Harapan Jaya	1	0	MISOOL SELATAN	9108011000
52	360	6	Kapatcol	1	0	MISOOL BARAT	9108012000
53	360	6	Kareyepop	1	0	MIXOOL SELATAN	9108011000
54	360	6	Lilinta	1	0	MISOOL BARAT	9108012000
55	360	6	Magei	1	0	MISOOL BARAT	9108012000
56	360	6	Tomolol	1	0	MISOOL TIMUR	9108022000
57	360	6	Usaha Jaya	1	0	MISOOL TIMUR	9108022000
58	360	6	Yellu	1	0	MISOOL SELATAN	9108011000
59	360	6	Aduwei	0	0	MISOOL	9108020000
60	360	6	Atkari	0	0	MISOOL	9108020000
61	360	6	Folley	0	0	MISOOL TIMUR	9108022000
62	360	6	Lenmalas	0	0	MISOOL TIMUR	9108022000
63	360	6	Salafen	0	0	MISOOL	9108020000
64	360	6	Solal	0	0	MISOOL	9108020000
65	360	6	Waigama	0	0	MISOOL	9108020000
66	360	5	Mnier	0	0	WARWARBOMI	9108061000
67	360	5	Pupier	0	0	WAIGEO TIMUR	9108080000
68	360	5	Urbinasopen	0	0	WAIGEO TIMUR	9108080000
69	360	5	Kurkapa	1	0	MEOS MANSAR	9108042000
70	360	5	Arborek	1	0	MEOS MANSAR	9108042000
71	360	5	Sawinggrai	1	0	MEOS MANSAR	9108042000
72	360	5	Sauandarek	1	0	MEOS MANSAR	9108042000
73	360	5	Wamega	1	0	SALAWATI UTARA	9108031000
74	360	5	Solol	1	0	SALAWATI UTARA	9108031000
75	360	5	Wailebet	1	0	SELAT SAGAWIN	9108032000
76	360	5	Arefi	1	0	SELAT SAGAWIN	9108032000
77	360	5	Yensawai	1	0	SELAT SAGAWIN	9108032000
78	360	5	Yenbeser	1	0	WAIGEO SELATAN	9108040000
79	360	5	Saprokren	1	0	WAIGEO SELATAN	9108040000
80	360	5	Saonek	1	0	WAIGEO SELATAN	9108040000
81	360	3	Adijaya	1	0	BURUWAY	9102010000
82	360	3	Kambala	1	1	BURUWAY	9102010000
83	360	3	Yarona	1	1	BURUWAY	9102010000
84	360	3	Hia	1	1	BURUWAY	9102010000
85	360	3	Lumira	1	1	KAIMANA	9102030000
86	360	3	Lobo	1	1	KAIMANA	9102030000
87	360	3	Namatota	1	1	KAIMANA	9102030000
88	360	3	Mai Mai	1	1	KAIMANA	9102030000
89	360	3	Murano	1	1	KAIMANA	9102030000
90	360	3	Marsi	1	1	KAIMANA	9102030000
91	360	3	Tanggaromi	1	1	KAIMANA	9102030000
92	360	3	Siawatan	1	1	TELUK ETNA	9102040000
93	360	3	Bamana	1	1	TELUK ETNA	9102040000
94	360	3	Rururmo	1	1	TELUK ETNA	9102040000
95	360	3	Kamaka	1	1	KAIMANA	9102030000
96	360	3	Weri	0	1	FAKFAK TIMUR	9101050000
97	360	3	Wambar	0	1	FAKFAK TIMUR	9101050000
98	360	3	Sanggram	0	1	FAKFAK TIMUR	9101050000
99	360	3	Tubirwasak	0	1	KARAS	9101051000
100	360	3	Antalisa	0	1	KARAS	9101051000
101	360	3	Malakuli	0	1	KARAS	9101051000
102	360	5	Yeflo	0	1	MAYAMUK	9107121000
103	360	5	Arar	0	1	MAYAMUK	9107121000
104	360	2	Ambuni	1	1	KURI WAMESA	9103022000
105	360	2	Dunsner	1	1	KURI WAMESA	9103022000
106	360	2	Nanimori	1	1	KURI WAMESA	9103022000
107	360	2	Rasiei	1	1	RASIEY	9103021000
108	360	2	Sasirei	1	1	RASIEY	9103021000
109	360	2	Torey	1	1	RASIEY	9103021000
110	360	2	Iseren	1	0	RUMBERPON	9103070000
111	360	2	Senebuay	1	0	RUMBERPON	9103070000
112	360	2	Yembikiri I	1	0	RUMBERPON	9103070000
113	360	3	Nusa Ulan	1	1	BURUWAY	9102010000
114	360	3	Boiya	1	1	TELUK ETNA	9102040000
115	360	3	Nariki	1	1	TELUK ETNA	9102040000
116	360	15	Alila TImur	1			
117	360	15	Pante Deera	1			
118	360	15	Bana	1			
119	360	15	Bandar	1			
120	360	15	Baolang	1			
121	360	15	Munaseli	1			
122	360	15	Alumang	1			
123	360	15	Kayang	1			
124	360	15	Lamma	1			
125	360	15	Marisa	1			
126	360	15	Pura	1			
127	360	15	Pura Barat	1			
128	360	15	Pura Timur	1			
129	360	15	Adang	1			
130	360	15	Aimoli	1			
131	360	15	Alor Besar	1			
132	360	15	Dulolong Barat	1			
133	360	15	Lewalu	1			
134	360	15	Puluau Buaya	1			
135	360	15	Ternate	1			
136	360	15	Ternate Selatan	1			
137	360	15	Bungamuda	0			
138	360	15	Lamawara	0			
139	360	15	Muruona	0			
140	360	15	Bao Lali Duli	0			
141	360	15	Jontona	0			
142	360	15	Lamagute	0			
143	360	15	Lamawolo	0			
144	360	16	Terong	1			
145	360	16	Waiburak	1			
146	360	16	Lamawolo	1			
147	360	16	Bungalawan	1			
148	360	16	Harubala	1			
149	360	16	Lewo Keleng	1			
150	360	16	Nelelamadike	1			
151	360	16	Nelerereng	1			
152	360	16	Nurri	1			
153	360	16	Riang Bura	1			
154	360	16	Balaweling I	1			
155	360	16	Dani Wato	1			
156	360	16	Karawatung	1			
157	360	16	Lewotanah Ole	1			
158	360	16	Ongalereng	1			
159	360	16	Riatebang	1			
160	360	16	Tanah Lein	1			
161	360	16	Bubuatagamu	1			
162	360	16	Kailike Aimatan	1			
163	360	16	Kenere	1			
164	360	16	Sulengwaseng	1			
165	360	16	Bama	0			
166	360	16	Kawalelo	0			
167	360	16	Lamika	0			
168	360	16	Banitobo	0			
169	360	16	Dikesare	0			
170	360	16	Lerahinga	0			
171	360	16	Tapolangu	0			
990	360	7	FIELD TEST				
